,Headlines
56,CCTV: Hindu activists threaten hotel staff not to serve halal food in Karnataka's Bhadravathi
57,"Himachal Pradesh: Water rationing starts in Shimla amid heat wave, water shortage"
58,"Miss Universe Harnaaz gets body shamed for being ‘overweight’, hits back"
59,"Imran Khan makes another gaffe, says US behind no trust vote"
60,Sara Ali Khan trolled for looking tired and visiting temple
61,'Distasteful dressing' comment: Urrfii hits out at Farah
62,Mouni Roys's alluring floral closet
63,South HITS which rocked B'Wood box office
64,5 women that were linked to Salman Khan
65,Stylish monokinis to rock this summer
66,Sehban Azim: Was judged for my skin tone
67,B'day boy Varun Sood raises temperatures
68,TV actors' funny incidents of April Fool’s Day
69,IGT: Badshah confesses his liking for Nimrat
70,Amazing looks of Roshni Singh you shouldn't miss
71,Kriti Sanon's stunning pics in black outfits
72,Gorgeous pictures of Kalyani Priyadarshan
73,Keerthy Suresh & her Nyke’s adorable moments
74,5 Star ACs That Provide Optimal Cooling At Low Electricity Expense; AC prices here
75,Most Sought Kitchen Chimneys with Silent Operation
76,"Laptops under ₹60,000: Best picks for you when you are shopping online"
77,5-Star7 Kg washing machines: Best picks available online
78,"Double Door Refrigerators Under ₹25,000: Finest Energy Efficient Options"
79,"55 Inch Ultra HD Smart TVs From Samsung, Sony, Mi, Redmi, Etc"
80,24 Inch Monitors That Are A Great Choice For Your Work From Home Setups
81,"Earbuds For Everyone: Explore Options From boAt, OnePlus, JBL, etc"
82,"Exclusive: Gautam Gambhir hugged me and said 'well played', says Ayush Badoni"
83,Mahendra Singh Dhoni quits as Chennai Super Kings skipper
84,"Airthings Masters: After stunning Carlsen, Praggnanandhaa registers 2 more victories"
85,PBKS have the firepower to clinch maiden title: Bhanuka
86,"MI are slow starters, but it's still early days: Zaheer"
87,'360-degree' Badoni a great find for India: LSG skipper Rahul
88,Gambhir's reaction goes viral as LSG register maiden IPL win
89,It was like Niagara Falls: Fleming on dew in CSK vs LSG game
90,IPL: Evin Lewis lauds 'confident guy' Ayush Badoni
91,In Pics: LSG pull off big chase to stun CSK
92,2nd ODI: Pakistan levels series vs Australia with record chase
93,GST collections at record high of Rs 1.42 lakh crore in March
94,"Amidst 43% spike in crude oil, fuel and LPG prices hiked again"
95,Common man's pocket takes a hit as fuel and LPG prices hiked after 137 days
96,Commercial LPG price hiked by Rs 250 per cylinder
97,"RBI focused on growth, seen lagging on inflation fight"
98,Cash-strapped Lebanon struggles to turn lights on for polling day
99,"IBPS Clerk XI Mains Result 2022 announced at ibps.in, download here"
100,Common tech skills that are must in any industry
101,5 upcoming sectors in 2022
102,Words of Wisdom from the Giants - Career Advice from Top Entrepreneurs
103,"Freelancing, using your free time productively to earn more"
104,6 homemade inexpensive pizza recipes
105,Watch: How to make Oreo Pop
106,Watch: How to make Peppery Potato Puffs
107,Watch: How to make Moong Dal Pakodi Chaat
108,Watch: How to make Red Velvet Tea Cake
109,Lebanese Garlic Sauce
110,Banana Cheela
111,Chamomile Milk
112,Boondi Ke Laddoo
113,Heart Choco Pops
114,Not losing weight? Look out for these mistakes
115,One of the prominent side effects of keto diet
116,Rashmika sweats it out with THESE exercises
117,Randhir Kapoor's showing early signs of dementia
118,Harnaaz Sandhu opens up on Celiac disease
119,Lose weight with these five detox drinks
120,Tragic tale of abuse against doctors
121,Emotional control: How to achieve it
122,Samantha accepts challenge; shares workout video
123,Vitamin K: Health benefits and sources
124,Shehnaaz Gill drinks this homemade beverage
125,All about Jasmine Moosa
126,Here's what BB 3 contestants are doing
127,BB Malayalam 4: Dr. Robin lands in a fix
128,BB Malayalam 4: Daisy David lashes out at Blesslee
129,'Gantchhora' continues to top the TRP charts
130,Nivedita Saraf is excited about new venture
131,Kavya Gowda recovers her hacked account
132,‘Montu Pilot’ set to entertain audience soon
133,Mahindra Auto registers 65% sales growth in SUVs in March 2022
134,2022 Jeep Meridian SUV India unveiled: Launch in June
135,"Mahindra, MG SUVs with adaptive cruise control and autonomous braking"
136,"Honda City Hybrid unveil on April 14: Price, engine, motor, features and design"
137,Citroen C3 India launch this year: What to expect
138,5 upcoming bikes to watch out for in India in 2022 under Rs 5 lakh
139,"IBPS Clerk XI Mains Result 2022 announced at ibps.in, download here"
140,"SSC GD Constable Marks 2021 to be released today, check score card at ssc.nic.in"
141,"JEE, NEET, CET entrance exams free coaching platform kicks off"
142,"Haryana board class 12 Hindi paper leaked, exam cancelled"
143,"UPSC ESE Prelims 2022 result announced at upsc.gov.in, Mains on June 26; download result PDF here"
144,Preparations in place for PM's Pariksha Pe Charcha
145,Gujarat IPS officer Sanjiv Bhatt case: U-turn by complainant
146,"Country's biggest party indulging in 'goondaism', says Delhi CM Arvind Kejriwal on vandalism outside his official residence"
147,'RRR' box office collection day 6: Ram Charan and Jr. NTR starrer inches towards 700 crores worldwide!
148,PM to attend Quad summit in US on Sept 24
149,The most bizarre outfits at Oscars 2022
150,Signs of pregnancy before a missed period
151,Why readers are likely to be successful?
152,Child shaming: Things not to say to your kids
153,Sugarless sweets made with fresh fruits
154,‘Ready to discuss if India wants to buy anything from us’: Russian Foreign Minister Lavrov
155,MCC cancels mop-up round for medical PG admissions on SC’s directions
156,"Quashing of reservation in promotion to SC/ST employees may lead to unrest, multiple litigations: Centre to apex court"
157,SC rejects Maharashtra plea to allow SIT to probe cases against Anil Deshmukh
158,‘India in favour of resolving disputes via diplomacy’: Jaishankar during meeting with Russian Foreign Minister Lavrov
159,TMC MP Chhetri demands minority status for Hindus in Meghalaya
160,Heatwave in Northwest and Central India in April; below-normal temperatures in South
161,JDU general secretary Sanjay Jha rubbishes rumours of Nitish Kumar moving to Rajya Sabha
162,"As Opposition joins hands against K-Rail, CPM alleges ‘unholy political nexus’"
163,India voice of developing nations on climate change: Environment Minister Bhupender Yadav in Lok Sabha
164,Parliament Budget Session Live Updates: Lok Sabha passes bill to include some tribal communities in ST list in four UP districts
165,"At home of killed militant, questions over path make way for acceptance"
166,"Under new guidelines, Charak Shapath instead of Hippocratic oath for medical students"
167,"Delhi, Maharashtra: Masks not must, but advisable"
168,"If China breaches LAC again, Russia won’t help, says US Deputy NSA Daleep Singh"
169,"Historic, big step for peace: Northeast CMs"
170,Truss-Jaishankar faceoff over sanctions: ‘most Russian oil buyers in Europe’
171,"Now, Pokhriyal to be evicted, to make room for Scindia"
172,MK Stalin seeks PM Modi’s nod to help Sri Lanka Tamils
173,"Retiring MPs reminisce about past, advise on future"
174,"Assam Rajya Sabha polls: Counting delayed, Congress suspends party MLA for violating whip"
175,Sharad Pawar on The Kashmir Files: Such a film should not have been cleared for screening
176,"BJP, ally win both RS seats from Assam"
177,"5 Questions: Umesh G Jadhav, BJP MP from Karnataka’s Gulbarga constituency"
178,Sonia Gandhi slams govt over NREGA cuts; ministers hit back
179,Congress makes fresh appointments in Goa unit; hands over baton to “Generation Next”
180,Ex-IPS officers hail Centre’s efforts in combating Maoist violence
181,"Family feud back, sidelined Shivpal looks out"
182,"Newsmaker: On the sidelines of raj path, Chirag now loses a Janpath address"
183,‘Congress was expected to do better’: Tribal discontent simmers in Chhattisgarh
184,US criticises India on Russia talks as Lavrov visits Delhi
185,Russian Foreign Minister Lavrov arrives in India amid Moscow’s invasion of Ukraine
186,Fifteenth round of India-China talks to resolve Ladakh standoff ‘positive and constructive’: Chinese military
187,Allahabad HC bail to students in T20 World Cup case: ‘Unity of India not a reed that can bend to slogans’
188,‘You will be in our thoughts’: RS Chairman Venkaiah Naidu bids farewell to 72 members of House
189,"SC directs Sharad Yadav to vacate his bungalow by May 31, furnish undertaking"
190,"Newsmaker: At the helm of Manipur Congress post poll rout, K Meghachandra braces for uphill task"
191,"Prices of EVs to be equal of petrol cars in 2 years, says Nitin Gadkari"
192,"Two prolonged heatwaves, a missed cyclone and wet spells, March ends as a month of extremes"
193,"Amid hijab-halal row, as Karnataka BJP raises pitch, speculation of early polls"
194,"Govt removes AFSPA from parts of Nagaland, Assam and Manipur"
195,"Rajya Sabha bids goodbye to 72 members, PM hails contribution"
196,CJI N V Ramana launches software to transmit court orders swiftly
197,‘Shut up’: Ramdev lashes out at journalist over question regarding fuel price hike
198,"Congress MP wants ‘Pakistan-like’ law to limit number of guests, dishes at weddings"
199,"Report: 67% abortions in India unsafe, cause nearly 8 deaths every day"
200,"Weather update: Heatwave conditions to continue across North India today, some respite from tomorrow"
201,"Destroying social fabric, peace & co-existence to win poll is unacceptable: Karnataka BJP MLC Vishwanath"
202,Supreme Court dismisses plea challenging use of TTD property for Sri Balaji district’s Collectorate
203,"Oppn accuses govt of framing labour codes without consulting trade unions, favouring corporates"
204,"Adiwasis in Sukma protest Ramayana recitation competition, writes to Governor"
205,UK Foreign Secy Liz Truss to arrive in India today
206,SC asks DGHS to correct anomalies in NEET-PG All India Quota counselling
207,"Sariska Tiger Reserve: Stinging bees, smoke and a steep climb — an uphill battle to control fire"
208,"Sariska Tiger Reserve not fire-prone, but burned despite early warnings"
209,"PM speaks to Rajasthan CM, offers all help to douse blaze"
210,"5 Questions: Arun Kumar Sagar, BJP MP from Uttar Pradesh’s Shahjahanpur"
211,"BJP encashing valour of ex-Servicemen for politics, later forgets them: Congress"
212,Rajya Sabha members seek answers on plan for MP quota in KVs
213,"LS clears Bill to amend chartered accountancy, cost accountancy, company secretary laws"
214,Uproar in Lok Sabha as TMC MP alleges ‘misuse’ of central agencies
215,No intention to make social media users’ verification a must: Govt
216,"Lok Sabha passes MCD Bill, Amit Shah says BJP workers not afraid"
217,German NSA: Turmoil if countries define geography through history
218,Sale of 20th tranche of electoral bonds to begin on April 1
219,Kerala seeks US support to establish centres of excellence in higher education sector
220,Rajya Sabha passes Bill to remove Bhogta caste from SC list
221,Govt announces merger of all film bodies under National Film Development Corporation
222,"AAP marks Jammu presence with Doda rally; rivals take note, watch ranks"
223,"Newsmaker: Narendranath Chakraborty, MLA banned from Asansol by-poll campaign an old TMC hand"
224,Polls in J&K after delimitation exercise: Amit Shah
225,Panel approves procurement of 15 light combat helicopters
226,Top Odisha officers in line of Oppn fire for making a beeline to felicitate Naveen
227,Govt does not intend to make social media users’ verification mandatory: Minister
228,Kerala’s new policy sets up wider availability of liquor in state
229,Govt sends team to evict Chirag from bungalow allotted to his late father and ex-minister Ram Vilas Paswan
230,"Lok Sabha passes Chartered Accountants, the Cost and Works Accountants and the Company Secretaries (Amendment) Bill, 2021"
231,"Difficult for character actors to become hero, heroine again: Gadkari"
232,"Newsmaker: Alliance with Goa Congress was unenthusiastic; Oppn unity cannot just be a hashtag, says Vijai Sardesai"
233,19-year-old woman killed in Vadodara
234,"With two more successful tests, Army version of MRSAM completes trials"
235,"Kerala CM Vijayan writes to PM Modi, urges him to look into deportation of anthropologist Filippo Osella"
236,"Uttarakhand CM Dhami allots portfolios, keeps over two dozen departments with himself"
237,Union minister Nitin Gadkari reaches Parliament in green hydrogen-powered car
238,"Lakhimpur Kheri violence: On plea to cancel MoS Mishra son’s bail, SC seeks UP govt stand"
239,Watch: Woman hurls bomb at CRPF bunker in Kashmir’s Sopore
240,"India logs 1,233 new COVID-19 cases"
241,Konkan Railway completes electrification of entire 741-km route; CRS nod obtained
242,Questions over stability of world order: PM Modi at BIMSTEC summit
243,"Newsmaker: Its footprint shrinking, Gujarat tribal party hopes to find a new ally in AAP"
244,"Heatwave to continue in Delhi, Rajasthan; light rain in Kerala, Northeast: IMD"
245,"Exercise increased caution while travelling to India, says new US travel advisory"
246,"‘Backwards, SCs & minorities have still not understood their rights’: SBSP president Om Prakash Rajbhar"
247,"Parliament Budget Session Highlights: Budgetary allocation for MGNREGA cut despite scheme’s benefits during pandemic, Sonia Gandhi says in LS"
248,"In Yogi Cabinet 2.0, newcomers get important portfolios"
249,Two crore families in rural India given pucca houses: PM Modi
250,34 non-J&K residents have bought land in UT: Govt in Lok Sabha
251,"NREGS wages revised, less than 5 per cent hike in 21 states, Union Territories"
252,PM in Bengal address: Violent intimidation against democracy
253,Workshops in schools needed for awareness on child abuse: DMK MP
254,Not approached by anyone over Presidential elections: Patnaik
255,"Central Vista revamp: Rs 1,119-crore bid lowest for Executive Enclave that will house new PMO"
256,"Chartered Accountants Bill: Amendment an attempt to tinker with ICAI autonomy, says Opposition"
257,5 Questions: BJP MP Subhash Chandra Baheria
258,US Deputy NSA likely to visit this week
259,"Central government to sell up to 1.5% in ONGC to raise Rs 3,000 crore"
260,Halal food is ‘economic jehad’: BJP gen secy C T Ravi
261,"Indian student Harjot Singh, who was shot in Kyiv, discharged from hospital"
262,"Finance minister underlines growth, flags war challenges: Oil prices, supply disruption"
263,"Over 1,200 paramilitary troopers died by suicide in last 10 years: govt"
264,BJP only party that respects all former PMs: Narendra Modi
265,The fishing scheme that landed VIP leader Mukesh Sahani in troubled waters
266,"‘Mega Science Vision Document-2035 to make students industry-ready, employable’"
267,"Divided at the top and weak within, Odisha Congress’s battle for survival continues"
268,"Newsmaker: 13 years an outsider, the curious case of Shashi Tharoor"
269,"Lakhimpur Kheri case: No attack on witness, altercation was over Holi colours, UP govt tells SC"
270,SC order on developmental projects applicable not just to SilverLine: Kerala HC
271,Kerala HC denies bail to prime accused in 2017 actress assault case
272,"10 BKU members arrested for rioting, Rakesh Tikait protests"
273,29 cases of illegal import of e-waste detected since 2019: Centre tells Parliament
274,"Bharat Bandh: Despite court intervention, attendance low in Kerala govt offices on day 2"
275,PM Modi asks BJP MPs to highlight welfare measures in fortnight dedicated to ‘social justice’
276,"Once a weapon in its arsenal, bandhs now a no-no for TMC"
277,Bengal Assembly pandemonium: A look at the other infamous scenes
278,"Birth anniversary of Lingayat seer likely to be show of strength in Karnataka BJP for sidelined Yediyurappa, son"
279,Nitish Kumar joining Rajya Sabha? Close aide rubbishes rumours
280,"Exclusive | Congress will form govt in Goa within 10-15 months, says leader Michael Lobo"
281,Two coins in two bowls: Read what PM Modi said at Pariksha Pe Charcha
282,India staying in touch with Russia beneficial for both nations: Jaishankar
283,DMK MP to move private member bill seeking fixed time limit for Governor to decide on bills
284,"Suman Paul, sole TMC corporator in Tripura, joins BJP"
285,TMC mocks BJP's 'acche din' with Oscars slapgate meme on April Fool's day
286,"Patient bitten by rat in Telangana hospital, 2 doctors suspended"
287,"Tension in Telangana's Jogulamba Gadwal, Ambedkar statue set on fire as two groups clash"
288,Will strip you off uniform: 2 BJP leaders threaten police in Bengal's Bankura
289,19-year-old student dies by suicide over caste-based harassment by college authorities in TN
290,"Delhi HC asks police to preserve CCTV footage, file status report on vandalism outside CM Kejriwal's residence"
291,Pages
292,ED arrests Nagpur lawyer who filed plea against Fadnavis in money laundering case
293,"Free electricity, increased health insurance amount: Rajasthan govt announces slew of public welfare measures"
294,Former J&K minister Babu Singh's name comes up in hawala case
295,"This is language of coercion, not diplomacy: Former UN envoy on US concern over India-Russia trade"
296,"Amid Ukraine war, Russian Foreign Minister Sergey Lavrov arrives in New Delhi"
297,"Rajya Sabha polls: NDA bags 2 seats in Assam, 1 in Tripura; Congress gets 1 in Kerala"
298,"Aviation turbine fuel price hiked to all-time high of Rs 2,258.54 per kilolitre"
299,Punjab govt paid pest-affected farmers less than those whose crops were razed for CM swearing-in: Oppn
300,Medical oath to be replaced by Charak Shapath? National Medical Commission clarifies
301,Today's News LIVE Updates | Nepal CM Deuba meets BJP chief JP Nadda at party HQ in Delhi
302,PM Modi assured appropriate action on Tamil Nadu’s demands: CM Stalin
303,Bengal bypolls: TMC files complaint with EC against BJP candidate Agnimitra Paul
304,Pages
305,"Bombay HC directs Rakesh Wadhawan, accused in PMC bank fraud case, to be shifted back to KEM hospital"
306,Malegaon blast case: Bombay HC rejects Lt Col Purohit’s appeal seeking a stay on the trial
307,NARI-ICMR moves ahead with phase 3 trials for world’s first TB vaccine
308,"Russia won't come to India’s defence if China violates LAC again, says US Deputy NSA"
309,Intend to remain engaged with China on issue of trans-border rivers to safeguard our interests: Govt
310,FIR against ministers for brandishing swords: Maharashtra chief secretary to look into matter
311,"I-T dept uncovers irregularities to the tune of Rs 800 crore after raids on Hero Motocorp, others"
312,"EAM Jaishankar, UK counterpart hold bilateral talks, Ukraine war high on agenda"
313,Police arrests woman who hurled petrol bomb at CRPF camp in J&K's Sopore
314,Clubhouse app case: 18-year-old accused granted bail by Mumbai court
315,Assets worth Rs 216 crore of Chennai firm attached by ED for FEMA violations
316,"Maoists failing due to sustained ops, development schemes, say ex-IPS officers"
317,Pages
318,"Maoists failing due to sustained ops, development schemes, say ex-IPS officers"
319,"Gujarat police entered party office in Ahmedabad without permission, alleges Congress"
320,Centre gives nod for six reactors at Andhra's Kovvada nuclear power plant
321,Russian Foreign Minister arrives in Delhi amid Ukraine war
322,"Wife's suspected extra-marital affair led to Ahmedabad quadruple murder, reveals police"
323,"Congress high command's olive branch, quelling a rebellion or mere tokenism?"
324,"Company withdraws from Kerala SilverLine project, K-Rail claims it was sacked"
325,Bombay HC upholds order asking divorced woman to pay alimony to ex-husband
326,"Kerala govt changes liquor policy, allows IT parks to serve liquor"
327,Bengal lifts all Covid curbs as cases dip
328,Actor Dileep accuses cops of harassing his 87-year-old mother
329,"50 Indians still in Ukraine, only few want to return: Centre in Rajya Sabha"
330,Pages
331,Two YSRCP councillors come to blows in Andhra Pradesh | Video
332,Hyderabad: Special trains to be arranged for Jaipur and Gorakhpur from April
333,One religion cannot impose its ideology on another: K'taka minister on halal meat row
334,"6 MLAs, 9 municipal councillors skip Congress' meeting over Himachal Pradesh civic poll"
335,Jammu-Srinagar national highway reopens for vehicular traffic
336,Bajrang Dal activist murder: K'taka court orders probe against minister Eshwarappa for provocative speech
337,"India, France conduct joint naval exercise Varuna in Arabian sea"
338,"Have right to know if my daughter is dead or alive, says MP man on hunger strike"
339,"West Bengal: Woman, daughter held for strangling man to death in Howrah"
340,NCB gets another 60 days to file chargesheet in drugs-on-cruise case
341,Telangana youth arrested for rape and murder of class 10 girl
342,Telangana: Congress to counter Asaduddin Owaisi’s party AIMIM on its home turf
343,Pages
344,"Through Thick & Thin: India, Russia Recall 'Sustained' Ties as Jaishankar Holds Talks with Russian Counterpart"
345,"News18 Afternoon Digest: Don't Blame India for Importing Russian Oil, Says Pak PM, Karnataka Halal Row Gains Steam & Other Top Stories"
346,"AFSPA: Not Insurgency, Manipur Should Be Known for Development, Says Professor Who Witnessed Unrest"
347,4 Pairs of Trains Connecting Delhi With 5 Other States to Have Additional Coaches. List
348,"AFSPA Now Applicable Fully Only in 31 Districts, Partially in 12 Districts of 4 Northeast States"
349,"My Russia Trip Irked America, Pak Oppn Has Money Stacked in US Bank, Says Imran Khan | Top Quotes"
350,"AFSPA Coverage Reduced: From Maximum Incidents to Minimum Casualties, Here's the Ground Reality"
351,"Karnataka Halal Row: As Issue Reaches HC, BJP Calls for 'Solution', A Look at Why There's a Call for Boycott"
352,SC Dismisses Maha Govt's Plea Seeking Transfer of Anil Deshmukh Case to SIT
353,North Western Railway to Operate Weekly Summer Special Trains; Check List
354,"'How Did Protesters Reach CM's Doors?' Delhi HC Raps Police, Orders to Preserve CCTV Footage"
355,"India Logs 1,335 New Covid-19 Cases, Active Infections Dip to 13,672"
356,"Lunch with Modi, Visit to BJP Office, a Day in Benaras: On Maiden Trip to India, Nepal PM Deuba's Itinerary"
357,Railways Cancels Trains on Jodhpur-Jaisalmer Rail Route Due to Maintenance Work
358,3 Trains Across 6 States to Get Extra Coaches. Check List
359,"One Consumes Poison, Another Faints After Hearing Bihar Board Results"
360,"PM Modi Greets People on Utkala Dibasa; Odisha Gave World a Message of Peace and Love, Says President Kovind"
361,China Calls for Keeping Ties With India 'On Right Course' After US Remark on Moscow-Beijing Closeness
362,"Uttarakhand Doctor Resigns over 'Harassment' from Health Secretary, His Wife"
363,Militant Affiliated to LeT Killed in Shopian Encounter; Explosives Found in Raid in Kishtwar
364,"India Lifts Covid Curbs, Maharashtra Breathes Free of Masks, No 'Fine' in Delhi Too: All You Need to Know"
365,Tourists Throng Banks of Dal Lake as Asia's Largest Tulip Garden Opens for Visitors in J&K's Srinagar | IN PHOTOS
366,"'Fear Over Residents Sheltering Extremists': As Assam Celebrates Reduced AFSPA, Some Tread with Caution"
367,"India, UK Resolve to Retain Strategic Focus on Indo-Pacific"
368,India Signs Pact with UNWFP for Distribution of Aid in Afghanistan
369,"Unable to Clear Rouble Payments, India Orders Indigenous Weapons to Use Up Defence Capital Budget"
370,Uttar Pradesh Village Police Seeks Surrender of Rape Accused with Bulldozer Threat
371,Birbhum Killings: Two More Held for TMC Panchayat Official's Murder
372,Cal HC Asks Bengal Govt to Submit Probe Progress Report in Minor Girl Gangrape Case
373,"J&K: Burqa-clad Woman, Who Hurled Petrol Bomb at CRPF Bunker, Arrested"
374,"Heatwave: Northwest, Central India to Experience Above-normal Max Temp in April, Says IMD"
375,Will Give Permission to Re-open Nizamuddin Markaz for Ramzan: Delhi Police to HC
376,Speculations Rife on Nitish Kumar Moving to Delhi as Next Vice President
377,"6 Killed, 7 Injured as Car Falls into Gorge in J&K's Poonch"
378,"Right Time to Lift Mask Mandate, but Vulnerable Groups Must Take Precaution: Experts"
379,"Around 40-50 Indians Still in Ukraine, of Which Only Few Willing to Return, Says Govt"
380,Nepal PM Deuba to Travel to India on Friday on His Maiden Visit with 50-member Delegation
381,Ukraine Crisis Shattered European Security; Must Cut Dependence on Russia; India Trusted Partner: Liz Truss
382,Mask or No Mask? Know What Changes from Today As Covid-19 Restrictions End in India
383,NIA Announces Rs 10 Lakh Reward Each on Four Wanted Terrorists of LeT Offshoot TRF
384,"Russian FM Sergey Lavrov Lands in India for Official Visit; Will Meet PM Modi, Jaishankar on Friday"
385,"Breathing Easy: Maha, Bengal Dump All Covid Curbs, Delhi Makes Mask Optional; Details Here"
386,"‘Historic Move, Will Celebrate it in Big Way’: People of Manipur Hail Modi, Shah’s AFSPA Decision"
387,West Bengal Lifts All Covid-related Curbs as Cases Dip
388,"15th Round of India, China Talks to Resolve Ladakh Standoff 'Positive and Constructive': Chinese Military"
389,Delhi Decides to Do Away with Fine for Not Wearing Face Masks at Public Places: Sources
390,"MP: Minor Girl Raped, Forced to Undergo Abortion; Doctor, Accused Among 4 Held"
391,"VIL Board Okays Share Allotment to 3 Promoter Group Cos to Raise Rs 4,500 Cr"
392,"Delhi Among 31 Non-attainment Cities with Increased PM10 Levels in 2020-21, Govt Tells RS"
393,Over 20 Houses Damaged in Two Fire Incidents in Srinagar: Officials
394,These Humsafar Express Trains Are Soon Going To Have a Revised Timetable
395,China Gaining Leverage Over Russia Inimical to India: US Deputy NSA Daleep Singh
396,"Railways to Run Daily Special Trains Connecting Cities in UP, Haryana And Punjab"
397,"UP Qawwal in Trouble for Anti-National Remarks, MP Police Teams Reach Kanpur to Nab Him"
398,"News18 Evening Digest: Disturbed Areas Under AFSPA in Assam, Nagaland, Manipur Reduced & Other Top Stories"
399,"Printed Mask On, 7-year-old Student Petitions Against Stray Dog Menace in Karur"
400,Maharashtra Decides to do Away With all Covid-19 Curbs As Cases Wane; Mask Use Now Optional
401,"Scorched Earth: India Hit by Record Heatwave in Mar, Rainfall Deficit Widens to 72%; No Respite Soon"
402,AFSPA: A British-era Remnant With Unbridled Powers; Here’s a Complete Low-down
403,"Rajasthan Man Dies by Suicide After Being Beaten Up by Police, ASI Suspended"
404,Terror Groups Using Women Over Ground Workers to Carry Out Attacks in Kashmir: Officials
405,"NSA Doval Holds Talks With Dutch Counterpart Leeuwen, Discusses Bilateral, Global Issues"
406,BJP Leader Among Two Held for Abetting Suicide of Doctor in Rajasthan's Dausa
407,"India, France Begin Five-day Mega Naval Wargame in Arabian Sea"
408,"Unnao Rape Case: HC Seeks CBI, Victim's Response on BJP MLA Sengar's Bail Plea"
409,Aryan Khan Case: NCB Gets 60 More Days from Mumbai Court to File Chargesheet
410,"Indian Railways to Resume Bedroll Service on 11 Trains from Indore, Mhow"
411,"Disturbed Areas Under AFSPA in Assam, Nagaland, Manipur Reduced, Says Amit Shah"
412,West Bengal Lottery Result 2022: Dear Bangabhumi Bhagirathi Result for March 31 at 4 PM; Check Details
413,Three Indian Fishermen from Tamil Nadu Arrested by Lankan Navy
414,Sketches of 2 Suspects in Delhi IED Recovery Case Prepared; Special Cell Teams on Lookout
415,Shillong Lottery Result 2022: Check Winning Numbers for March 31 Morning Teer and Teer Game
416,"From the Taliban Takeover to Lockdowns in India, How Bhilwara’s Textile Industry Survived 2021"
417,Police File Complaint After Triple Talaq Crusader Nida Khan Alleges Being 'Heckled' By Relatives 'To Quit BJP'
418,"Delhi, Maharashtra Sizzle as Mercury Soars, IMD Predicts Heatwave in Central, West India for Next 4-5 Days"
419,"UP Qawwal Booked for Anti-national Remarks in Rewa, MP Police to Arrest Accused Soon"
420,"With Nil Active Cases, Puducherry Becomes Covid-free"
421,'Biased Approach': Karnataka HC Slams POCSO Court for Acquitting Rape-accused Father
422,Journalist Rana Ayyub Moves Delhi High Court Against Travel Restrictions
423,Maha: ED Searches Residence of Nagpur-based Lawyer Who Filed Petitions Against Fadnavis
424,"Advocate Satish Uke, in News for Petitions Against BJP's Devendra Fadnavis, Detained After ED Raids"
